,Race,Age,z,y,id
0,0,1,0_1,0.8617234468937875,69
1,0,2,0_2,0.9719438877755511,14
2,1,2,1_2,0.9979959919839679,1
3,0,0,0_0,0.9919839679358717,4
4,2,2,2_2,0.9679358717434869,16
5,2,1,2_1,0.9939879759519038,3
6,1,1,1_1,1.0,0
7,1,1,1_1,0.969939879759519,15
8,0,0,0_0,0.9899799599198397,5
9,0,0,0_0,0.9859719438877755,7
10,0,2,0_2,0.9559118236472945,22
11,1,0,1_0,0.9959919839679359,2
12,1,2,1_2,0.9839679358717435,8
13,2,0,2_0,0.9879759519038076,6
14,2,0,2_0,0.9759519038076152,12
15,0,0,0_0,0.9639278557114228,18
16,2,0,2_0,0.9739478957915831,13
17,2,0,2_0,0.935871743486974,32
18,2,0,2_0,0.9038076152304609,48
19,1,1,1_1,0.875751503006012,62
20,0,2,0_2,0.9438877755511023,28
21,2,2,2_2,0.9478957915831663,26
22,2,1,2_1,0.9779559118236473,11
23,2,2,2_2,0.9398797595190381,30
24,2,1,2_1,0.9619238476953907,19
25,2,2,2_2,0.9138276553106213,43
26,2,0,2_0,0.8697394789579158,65
27,2,2,2_2,0.8977955911823647,51
28,2,2,2_2,0.8837675350701403,58
29,2,1,2_1,0.9599198396793587,20
30,2,0,2_0,0.8637274549098196,68
31,1,2,1_2,0.9819639278557114,9
32,2,1,2_1,0.9539078156312625,23
33,1,0,1_0,0.9498997995991985,25
34,1,0,1_0,0.9158316633266533,42
35,1,0,1_0,0.8797595190380761,60
36,1,0,1_0,0.8396793587174349,80
37,1,0,1_0,0.8236472945891784,88
38,1,0,1_0,0.8196392785571143,90
39,1,2,1_2,0.9799599198396793,10
40,1,2,1_2,0.9659318637274549,17
41,1,0,1_0,0.8076152304609219,96
42,0,0,0_0,0.9418837675350702,29
43,0,0,0_0,0.9378757515030061,31
44,1,0,1_0,0.8016032064128257,99
45,1,0,1_0,0.7935871743486974,103
46,1,0,1_0,0.719438877755511,140
47,2,1,2_1,0.9519038076152304,24
48,1,2,1_2,0.9579158316633266,21
49,0,2,0_2,0.9278557114228457,36
50,2,1,2_1,0.9298597194388778,35
51,2,0,2_0,0.7995991983967936,100
52,0,2,0_2,0.9118236472945892,44
53,2,1,2_1,0.9218436873747495,39
54,0,0,0_0,0.9318637274549099,34
55,2,0,2_0,0.7875751503006012,106
56,0,0,0_0,0.9258517034068137,37
57,0,0,0_0,0.9078156312625251,46
58,0,0,0_0,0.8777555110220441,61
59,2,0,2_0,0.781563126252505,109
60,1,1,1_1,0.8677354709418837,66
61,2,2,2_2,0.8537074148296593,73
62,2,2,2_2,0.8156312625250501,92
63,2,2,2_2,0.7955911823647295,102
64,2,2,2_2,0.7855711422845691,107
65,0,0,0_0,0.8036072144288577,98
66,0,2,0_2,0.8877755511022044,56
67,1,2,1_2,0.9458917835671343,27
68,0,2,0_2,0.8857715430861723,57
69,0,2,0_2,0.8717434869739479,64
70,0,2,0_2,0.8557114228456915,72
71,0,2,0_2,0.8476953907815632,76
72,1,2,1_2,0.9338677354709419,33
73,2,1,2_1,0.9198396793587175,40
74,1,2,1_2,0.9238476953907816,38
75,1,1,1_1,0.8336673346693386,83
76,1,1,1_1,0.8296593186372746,85
77,1,1,1_1,0.8256513026052105,87
78,1,1,1_1,0.8136272545090181,93
79,1,1,1_1,0.7975951903807615,101
80,1,1,1_1,0.7915831663326653,104
81,2,0,2_0,0.7735470941883767,113
82,2,1,2_1,0.8937875751503006,53
83,1,1,1_1,0.7895791583166333,105
84,2,1,2_1,0.87374749498998,63
85,2,2,2_2,0.7835671342685371,108
86,0,2,0_2,0.8376753507014028,81
87,1,2,1_2,0.9178356713426854,41
88,1,2,1_2,0.9098196392785571,45
89,1,2,1_2,0.905811623246493,47
90,0,1,0_1,0.8517034068136273,74
91,0,1,0_1,0.845691382765531,77
92,0,1,0_1,0.8056112224448898,97
93,0,1,0_1,0.7555110220440882,122
94,0,1,0_1,0.7334669338677355,133
95,0,1,0_1,0.7234468937875751,138
96,0,1,0_1,0.7114228456913828,144
97,0,1,0_1,0.6993987975951904,150
98,0,1,0_1,0.6933867735470942,153
99,0,1,0_1,0.6633266533066133,168
