,lsat,gender,race1,z,id,quality,rank
0,48.0,male,white,male,19372,1.0,0
1,48.0,male,white,male,21403,1.0,1
2,48.0,female,white,female,1371,1.0,2
3,48.0,male,white,male,18211,1.0,3
4,48.0,male,white,male,10252,1.0,4
5,48.0,female,other,female,436,1.0,5
6,48.0,male,asian,male,1669,1.0,6
7,48.0,male,white,male,1673,1.0,7
8,48.0,male,white,male,20409,1.0,8
9,48.0,male,white,male,21283,1.0,9
10,48.0,male,white,male,20635,1.0,10
11,48.0,male,white,male,12034,1.0,11
12,48.0,male,white,male,14326,1.0,12
13,48.0,male,white,male,21613,1.0,13
14,48.0,male,white,male,21625,1.0,14
15,48.0,male,white,male,14768,1.0,15
16,48.0,male,white,male,10804,1.0,16
17,48.0,female,white,female,10239,1.0,17
18,48.0,female,white,female,2109,1.0,18
19,48.0,male,white,male,10232,1.0,19
20,48.0,male,white,male,19452,1.0,20
21,48.0,male,white,male,4724,1.0,21
22,48.0,male,white,male,1538,1.0,22
23,48.0,female,white,female,2019,1.0,23
24,48.0,male,white,male,6932,1.0,24
25,48.0,male,white,male,640,1.0,25
26,48.0,male,white,male,13411,1.0,26
27,48.0,male,white,male,9375,1.0,27
28,48.0,male,white,male,7922,1.0,28
29,48.0,female,white,female,3481,1.0,29
30,48.0,female,white,female,3506,1.0,30
31,48.0,male,white,male,3543,1.0,31
32,48.0,male,white,male,12041,1.0,32
33,48.0,male,white,male,1892,1.0,33
34,48.0,female,white,female,20490,1.0,34
35,48.0,male,white,male,13944,1.0,35
36,48.0,female,white,female,12103,1.0,36
37,48.0,male,white,male,397,1.0,37
38,48.0,male,white,male,10213,1.0,38
39,48.0,male,white,male,14525,1.0,39
40,48.0,male,white,male,5414,1.0,40
41,48.0,male,white,male,13197,1.0,41
42,48.0,male,white,male,13140,1.0,42
43,48.0,male,white,male,10890,1.0,43
44,48.0,female,white,female,15055,1.0,44
45,48.0,male,white,male,14579,1.0,45
46,48.0,male,white,male,13316,1.0,46
47,48.0,male,hisp,male,16237,1.0,47
48,48.0,female,white,female,9226,1.0,48
49,48.0,male,white,male,8181,1.0,49
50,48.0,female,white,female,14554,1.0,50
51,48.0,male,white,male,15958,1.0,51
52,48.0,male,white,male,14688,1.0,52
53,48.0,male,white,male,14272,1.0,53
54,48.0,male,white,male,3280,1.0,54
55,48.0,male,white,male,14796,1.0,55
56,48.0,male,white,male,356,1.0,56
57,48.0,male,white,male,17009,1.0,57
58,48.0,female,other,female,7266,1.0,58
59,48.0,male,asian,male,14263,1.0,59
60,48.0,female,white,female,14274,1.0,60
61,48.0,male,white,male,21067,1.0,61
62,48.0,male,white,male,6235,1.0,62
63,48.0,male,white,male,13037,1.0,63
64,48.0,male,white,male,4516,1.0,64
65,48.0,male,white,male,10260,1.0,65
66,48.0,female,white,female,3031,1.0,66
67,48.0,female,white,female,3271,1.0,67
68,48.0,female,white,female,10249,1.0,68
69,48.0,male,white,male,6417,1.0,69
70,48.0,female,white,female,5461,1.0,70
71,48.0,male,white,male,5476,1.0,71
72,48.0,male,white,male,12981,1.0,72
73,48.0,male,white,male,13780,1.0,73
74,48.0,male,white,male,13002,1.0,74
75,48.0,female,white,female,17016,1.0,75
76,48.0,female,white,female,22093,1.0,76
77,48.0,female,white,female,20483,1.0,77
78,48.0,male,white,male,9261,1.0,78
79,48.0,male,white,male,9290,1.0,79
80,48.0,female,white,female,17018,1.0,80
81,48.0,male,white,male,9239,1.0,81
82,48.0,female,white,female,12911,1.0,82
83,48.0,male,white,male,16876,1.0,83
84,48.0,male,white,male,4823,1.0,84
85,48.0,male,white,male,14791,1.0,85
86,48.0,male,white,male,14593,1.0,86
87,48.0,male,white,male,13341,1.0,87
88,48.0,male,white,male,3249,1.0,88
89,48.0,male,white,male,20498,1.0,89
90,48.0,female,white,female,12906,1.0,90
91,48.0,female,white,female,21202,1.0,91
92,48.0,male,white,male,575,1.0,92
93,48.0,male,white,male,4106,1.0,93
94,48.0,male,white,male,570,1.0,94
95,48.0,male,white,male,14531,1.0,95
96,48.0,female,white,female,14537,1.0,96
97,48.0,male,white,male,7737,1.0,97
98,48.0,male,other,male,9589,1.0,98
99,48.0,male,white,male,12014,1.0,99
100,48.0,female,white,female,3569,1.0,100
101,48.0,male,white,male,21304,1.0,101
102,48.0,male,white,male,520,1.0,102
103,48.0,female,white,female,11028,1.0,103
104,48.0,female,asian,female,14850,1.0,104
105,48.0,female,white,female,10049,1.0,105
106,48.0,male,white,male,14997,1.0,106
107,48.0,male,white,male,12975,1.0,107
108,48.0,male,white,male,21371,1.0,108
109,48.0,male,white,male,21311,1.0,109
110,48.0,female,white,female,4988,1.0,110
111,48.0,male,white,male,904,1.0,111
112,48.0,female,white,female,1800,1.0,112
113,48.0,male,white,male,3600,1.0,113
114,48.0,female,white,female,14529,1.0,114
115,48.0,male,white,male,7600,1.0,115
116,48.0,female,white,female,5054,1.0,116
117,48.0,male,white,male,5062,1.0,117
118,48.0,female,white,female,9527,1.0,118
119,48.0,male,asian,male,13335,1.0,119
120,48.0,male,white,male,13342,1.0,120
121,48.0,male,white,male,578,1.0,121
122,48.0,female,white,female,17316,1.0,122
123,48.0,female,white,female,5090,1.0,123
124,48.0,female,white,female,21153,1.0,124
125,48.0,male,white,male,7761,1.0,125
126,48.0,female,white,female,499,1.0,126
127,48.0,male,other,male,13370,1.0,127
128,48.0,female,white,female,13364,1.0,128
129,48.0,male,white,male,1912,1.0,129
130,48.0,female,white,female,1952,1.0,130
131,48.0,male,white,male,14406,1.0,131
132,48.0,male,white,male,17282,1.0,132
133,48.0,male,white,male,13892,1.0,133
134,48.0,female,white,female,13910,1.0,134
135,48.0,male,white,male,21160,1.0,135
136,48.0,male,white,male,7681,1.0,136
137,48.0,female,white,female,7903,1.0,137
138,48.0,male,white,male,4227,1.0,138
139,48.0,female,white,female,17152,1.0,139
140,48.0,female,white,female,7888,1.0,140
141,48.0,male,white,male,3644,1.0,141
142,48.0,female,white,female,15283,1.0,142
143,48.0,male,white,male,6936,1.0,143
144,48.0,male,white,male,423,1.0,144
145,48.0,male,white,male,438,1.0,145
146,48.0,female,white,female,781,1.0,146
147,48.0,male,white,male,1816,1.0,147
148,48.0,female,white,female,14585,1.0,148
149,48.0,male,white,male,4294,1.0,149
150,48.0,female,white,female,14842,1.0,150
151,48.0,male,white,male,20449,1.0,151
152,48.0,male,white,male,3446,1.0,152
