lsat,gender,race1,z,id,quality,uuid,score,group
48.0,male,white,male,19372,1.0,ed1ff56f-4b71-4b51-873f-632e659d8804,1.0,0
48.0,male,white,male,21403,1.0,47e01a65-b38b-4a34-a96f-acf814c6c525,1.0,0
48.0,female,white,female,1371,1.0,423e2124-2c98-4517-9945-97dcd8bc2a30,1.0,1
48.0,male,white,male,18211,1.0,5026d358-423a-4a5a-82ce-e65ac1e0bb29,1.0,0
48.0,male,white,male,10252,1.0,6dc18659-ced9-4503-af19-78d7f8a76904,1.0,0
48.0,female,other,female,436,1.0,27a44c13-a15b-4f9a-b545-0d6dd8e542ed,1.0,1
48.0,male,asian,male,1669,1.0,d5871726-a30b-40fc-ace7-ccb2b0f97d3a,1.0,0
48.0,male,white,male,1673,1.0,0c87fc3c-6c8a-4235-93a4-a0425700403b,1.0,0
48.0,male,white,male,20409,1.0,638df6d8-b920-4b15-b9d3-4664c0c86256,1.0,0
48.0,male,white,male,21283,1.0,5efea563-de96-4ce1-858c-b3a5aaab601d,1.0,0
48.0,male,white,male,20635,1.0,c6a25516-8271-4266-aa9f-0b7b9975a08c,1.0,0
48.0,male,white,male,12034,1.0,4a15b9c2-814d-4a7f-80f3-0fd5eaaee951,1.0,0
48.0,male,white,male,14326,1.0,23fc3b34-6112-4076-b22d-6da0942497b7,1.0,0
48.0,male,white,male,21613,1.0,a7c87414-12be-44fc-a263-e727507a20ca,1.0,0
48.0,male,white,male,21625,1.0,7ea50f35-1a07-4702-a17d-ef685dcaa680,1.0,0
48.0,male,white,male,14768,1.0,033b73bc-1462-4157-b119-5b1b3d2f8251,1.0,0
48.0,male,white,male,10804,1.0,05a292f9-fe3d-4fea-abfc-5ae2f371f903,1.0,0
48.0,female,white,female,10239,1.0,7fb11674-8d3d-4839-9a18-b5af866e9e9a,1.0,1
48.0,female,white,female,2109,1.0,4622c644-0ebc-40e8-9cc7-579346408f2c,1.0,1
48.0,male,white,male,10232,1.0,df70e135-81f3-48a5-b18c-81ea0558de02,1.0,0
48.0,male,white,male,19452,1.0,50c5adeb-4a6d-4fc7-a67d-96ba98a58ab1,1.0,0
48.0,male,white,male,4724,1.0,e54df0e8-ccf0-4553-af4e-b121cd41f241,1.0,0
48.0,male,white,male,1538,1.0,9e7af6f7-816d-4693-8241-24ad6a5c1f43,1.0,0
48.0,female,white,female,2019,1.0,5ea51e49-1fa9-4139-ad05-387d6c9d60a3,1.0,1
48.0,male,white,male,6932,1.0,20acc569-0339-41da-94c2-0e703e9c9359,1.0,0
48.0,male,white,male,640,1.0,6094b71c-8d35-42b2-a006-cb569c6b93b2,1.0,0
48.0,male,white,male,13411,1.0,0c92537e-f89d-42b0-bf9c-e4d1a0941b7e,1.0,0
48.0,male,white,male,9375,1.0,4a01b8ef-cc2c-428d-a4be-4dd343d1071a,1.0,0
48.0,male,white,male,7922,1.0,1d1773bf-876b-493a-a6e1-eaf1ffeaf1f6,1.0,0
48.0,female,white,female,3481,1.0,82323029-eab2-4c99-ae9f-196424a5dbd6,1.0,1
48.0,female,white,female,3506,1.0,fdfe28e9-8737-4ea7-b3fa-b6dcb5d716e9,1.0,1
48.0,male,white,male,3543,1.0,252b0020-bcdc-4303-9bff-c290392514ad,1.0,0
48.0,male,white,male,12041,1.0,0f76383d-1ea3-4176-b34e-43c2253db386,1.0,0
48.0,male,white,male,1892,1.0,40baa1d4-71ac-471b-9e5d-2a845be724d1,1.0,0
48.0,female,white,female,20490,1.0,72701c3f-d4a0-43ac-90fa-f441c4f19d44,1.0,1
48.0,male,white,male,13944,1.0,5a08bc89-3d90-4155-9ac3-d8478d8738ec,1.0,0
48.0,female,white,female,12103,1.0,273c6aa6-4e3b-4c95-ae2f-26f57cbff7d0,1.0,1
48.0,male,white,male,397,1.0,105752fa-b541-47b8-81e9-7e5ab54d53bd,1.0,0
48.0,male,white,male,10213,1.0,ffed2518-4721-4756-aade-7d70283fa33a,1.0,0
48.0,male,white,male,14525,1.0,2d4d4b8b-da71-4faa-b39b-656137c01e42,1.0,0
48.0,male,white,male,5414,1.0,b18c526b-e58b-4d26-a5d5-70de78b28c5c,1.0,0
48.0,male,white,male,13197,1.0,b1be4137-d7fa-4319-95b3-d6766a60d4e8,1.0,0
48.0,male,white,male,13140,1.0,7971e62d-ea00-461a-b7fd-938fc78680d4,1.0,0
48.0,male,white,male,10890,1.0,06412c82-c7de-4eac-8261-22f7bc8c6097,1.0,0
48.0,female,white,female,15055,1.0,e2c865cd-9f84-43a4-acf5-0337a632e6eb,1.0,1
48.0,male,white,male,14579,1.0,f0a35fe4-dc6e-42c6-9871-9151276b56a8,1.0,0
48.0,male,white,male,13316,1.0,08996c5d-ba57-4491-ae26-3f3111d5cffd,1.0,0
48.0,male,hisp,male,16237,1.0,58fae97c-d06b-481d-b068-1c360afa0353,1.0,0
48.0,female,white,female,9226,1.0,ffad7f54-bfaa-4e23-bb6f-59be61b3dd15,1.0,1
48.0,male,white,male,8181,1.0,4605d95e-5cdb-4fc7-ad14-bb9dce4ebf11,1.0,0
48.0,female,white,female,14554,1.0,839c6108-8328-41f8-868a-77543d75eb2f,1.0,1
48.0,male,white,male,15958,1.0,31bc7a31-9a5e-4880-bdd9-1c13ef0fc999,1.0,0
48.0,male,white,male,14688,1.0,9a37abd7-8e82-48cc-8e43-a730290ffb44,1.0,0
48.0,male,white,male,14272,1.0,7e48cd7e-aabd-4c3d-8fce-e1f846a5a224,1.0,0
48.0,male,white,male,3280,1.0,7bdfde96-56b9-4099-bd1e-4cc532e7d20e,1.0,0
48.0,male,white,male,14796,1.0,66e62c4b-b9e7-472c-a54e-845392d837c3,1.0,0
48.0,male,white,male,356,1.0,17617411-6bd2-48b2-8ac6-de69e15720d1,1.0,0
48.0,male,white,male,17009,1.0,6f88fb71-c183-4cae-93ec-d4af83ceaa80,1.0,0
48.0,female,other,female,7266,1.0,39588fc4-adc7-4467-920c-2e58ef267825,1.0,1
48.0,male,asian,male,14263,1.0,3df854ae-4d88-4328-a94a-6308ef37ecc6,1.0,0
48.0,female,white,female,14274,1.0,d3923def-2657-461f-89d0-79d384b7057d,1.0,1
48.0,male,white,male,21067,1.0,810afea0-16a1-4d9a-bec1-1f96eb1c4e3f,1.0,0
48.0,male,white,male,6235,1.0,67b9ee52-8186-4de6-8751-57b3ee5d7136,1.0,0
48.0,male,white,male,13037,1.0,80f61e98-c6d5-4cbf-9f6a-6984d554596d,1.0,0
48.0,male,white,male,4516,1.0,16c55b2f-d19b-432d-8d44-f4082cd6c684,1.0,0
48.0,male,white,male,10260,1.0,23770f0e-1102-4d86-9f4b-fd4ff887c175,1.0,0
48.0,female,white,female,3031,1.0,d7fef62d-e8e4-415d-a7dd-b1a097cd5112,1.0,1
48.0,female,white,female,3271,1.0,ad71c1ae-57d3-4150-8b64-95595c2f9ea1,1.0,1
48.0,female,white,female,10249,1.0,be8d87fa-41a4-4c76-a033-f4aa565c6b97,1.0,1
48.0,male,white,male,6417,1.0,4c908865-ad58-48fd-9007-6e4340df8d3f,1.0,0
48.0,female,white,female,5461,1.0,e9631e94-2c5a-4e77-aed9-06456080ca89,1.0,1
48.0,male,white,male,5476,1.0,c804667c-c593-49e3-9cb1-4c8c72a1136c,1.0,0
48.0,male,white,male,12981,1.0,1cc9aa5d-5517-4414-9433-c0f691c56873,1.0,0
48.0,male,white,male,13780,1.0,1a743b62-34f7-48d8-8d5b-89ab88e34cd8,1.0,0
48.0,male,white,male,13002,1.0,4487bdc3-9ffd-4424-abb3-7d455daf19cd,1.0,0
48.0,female,white,female,17016,1.0,8c8598f2-e46f-46c8-8243-980d5737bb47,1.0,1
48.0,female,white,female,22093,1.0,f2636233-caad-4825-a2b4-8f6a0b6a847e,1.0,1
48.0,female,white,female,20483,1.0,14c567d3-cad2-4566-9100-2bcf1f5753b6,1.0,1
48.0,male,white,male,9261,1.0,c533d1ca-2c77-49b6-8624-b541f869efed,1.0,0
48.0,male,white,male,9290,1.0,a4e34efc-e584-4a0e-a703-e6432732f0d9,1.0,0
48.0,female,white,female,17018,1.0,a7e0247c-83cf-4cc0-a932-f895a43cf91a,1.0,1
48.0,male,white,male,9239,1.0,532bb0db-12f0-4b49-a3b1-4f53aaa6bddf,1.0,0
48.0,female,white,female,12911,1.0,32a135ce-6206-4a37-8659-12887d90de44,1.0,1
48.0,male,white,male,16876,1.0,29292ea5-b2e4-4d5a-8fa8-0ecfca6fccf6,1.0,0
48.0,male,white,male,4823,1.0,71665eee-15d7-4eec-a98e-2c80210849d7,1.0,0
48.0,male,white,male,14791,1.0,e7f5862a-4c38-478e-94f2-1b3134381618,1.0,0
48.0,male,white,male,14593,1.0,dad107b5-1fbf-47a7-ab07-a39b5c852f27,1.0,0
48.0,male,white,male,13341,1.0,56ed73e0-40f9-4533-afb2-c0e9dbce862b,1.0,0
48.0,male,white,male,3249,1.0,b1c8a821-28b9-45ed-b030-3a347f42bf17,1.0,0
48.0,male,white,male,20498,1.0,1a958c31-9eba-4f2c-88ed-ced6e0c038c4,1.0,0
48.0,female,white,female,12906,1.0,eb0c6a87-f617-4fd9-8104-37c22899f00e,1.0,1
48.0,female,white,female,21202,1.0,d03f8e96-a1ed-4f23-afcb-58e9776ddc5a,1.0,1
48.0,male,white,male,575,1.0,8797f6b0-7738-49f2-bfeb-a04deb4e1f80,1.0,0
48.0,male,white,male,4106,1.0,f307d3e2-79c6-4e1b-ada9-3795cf5a17b5,1.0,0
48.0,male,white,male,570,1.0,1ac4ecd0-0594-4668-8371-a87a911fcd87,1.0,0
48.0,male,white,male,14531,1.0,fe98560c-349f-487c-978b-37414904549e,1.0,0
48.0,female,white,female,14537,1.0,1c6d0119-bd6e-46c6-af28-f5d15e25bca3,1.0,1
48.0,male,white,male,7737,1.0,8d92b0b1-61bf-4905-8dc2-513b31bd37d7,1.0,0
48.0,male,other,male,9589,1.0,caa2b3e4-3614-49f1-a999-c2ecc673878d,1.0,0
48.0,male,white,male,12014,1.0,f9a23585-e757-4871-85c4-c112ca4d272a,1.0,0
48.0,female,white,female,3569,1.0,228e60be-3eaa-4f23-a86d-1b4ad9d756cc,1.0,1
48.0,male,white,male,21304,1.0,22506205-19ec-476d-ac28-ee4d754f365b,1.0,0
