uuid, score, group
423e2124-2c98-4517-9945-97dcd8bc2a30, 1.0, 1
ed1ff56f-4b71-4b51-873f-632e659d8804, 1.0, 0
47e01a65-b38b-4a34-a96f-acf814c6c525, 1.0, 0
5026d358-423a-4a5a-82ce-e65ac1e0bb29, 1.0, 0
27a44c13-a15b-4f9a-b545-0d6dd8e542ed, 1.0, 1
7fb11674-8d3d-4839-9a18-b5af866e9e9a, 1.0, 1
4622c644-0ebc-40e8-9cc7-579346408f2c, 1.0, 1
5ea51e49-1fa9-4139-ad05-387d6c9d60a3, 1.0, 1
6dc18659-ced9-4503-af19-78d7f8a76904, 1.0, 0
82323029-eab2-4c99-ae9f-196424a5dbd6, 1.0, 1
fdfe28e9-8737-4ea7-b3fa-b6dcb5d716e9, 1.0, 1
d5871726-a30b-40fc-ace7-ccb2b0f97d3a, 1.0, 0
0c87fc3c-6c8a-4235-93a4-a0425700403b, 1.0, 0
72701c3f-d4a0-43ac-90fa-f441c4f19d44, 1.0, 1
273c6aa6-4e3b-4c95-ae2f-26f57cbff7d0, 1.0, 1
638df6d8-b920-4b15-b9d3-4664c0c86256, 1.0, 0
e2c865cd-9f84-43a4-acf5-0337a632e6eb, 1.0, 1
ffad7f54-bfaa-4e23-bb6f-59be61b3dd15, 1.0, 1
839c6108-8328-41f8-868a-77543d75eb2f, 1.0, 1
39588fc4-adc7-4467-920c-2e58ef267825, 1.0, 1
d3923def-2657-461f-89d0-79d384b7057d, 1.0, 1
d7fef62d-e8e4-415d-a7dd-b1a097cd5112, 1.0, 1
5efea563-de96-4ce1-858c-b3a5aaab601d, 1.0, 0
ad71c1ae-57d3-4150-8b64-95595c2f9ea1, 1.0, 1
be8d87fa-41a4-4c76-a033-f4aa565c6b97, 1.0, 1
c6a25516-8271-4266-aa9f-0b7b9975a08c, 1.0, 0
e9631e94-2c5a-4e77-aed9-06456080ca89, 1.0, 1
4a15b9c2-814d-4a7f-80f3-0fd5eaaee951, 1.0, 0
8c8598f2-e46f-46c8-8243-980d5737bb47, 1.0, 1
f2636233-caad-4825-a2b4-8f6a0b6a847e, 1.0, 1
23fc3b34-6112-4076-b22d-6da0942497b7, 1.0, 0
14c567d3-cad2-4566-9100-2bcf1f5753b6, 1.0, 1
a7c87414-12be-44fc-a263-e727507a20ca, 1.0, 0
7ea50f35-1a07-4702-a17d-ef685dcaa680, 1.0, 0
a7e0247c-83cf-4cc0-a932-f895a43cf91a, 1.0, 1
32a135ce-6206-4a37-8659-12887d90de44, 1.0, 1
eb0c6a87-f617-4fd9-8104-37c22899f00e, 1.0, 1
d03f8e96-a1ed-4f23-afcb-58e9776ddc5a, 1.0, 1
033b73bc-1462-4157-b119-5b1b3d2f8251, 1.0, 0
1c6d0119-bd6e-46c6-af28-f5d15e25bca3, 1.0, 1
228e60be-3eaa-4f23-a86d-1b4ad9d756cc, 1.0, 1
1991b497-25bc-47df-af10-fb380fb71410, 1.0, 1
05a292f9-fe3d-4fea-abfc-5ae2f371f903, 1.0, 0
9563eefe-eeb4-4623-9786-b7aec7d05ef4, 1.0, 1
4661bd76-8de7-41eb-a635-ab0082493135, 1.0, 1
df70e135-81f3-48a5-b18c-81ea0558de02, 1.0, 0
5a5f0823-b9c8-4f09-86f8-ef93b20e050e, 1.0, 1
50c5adeb-4a6d-4fc7-a67d-96ba98a58ab1, 1.0, 0
1c5460ed-2d61-4e5a-be67-6d3f255bb878, 1.0, 1
af4d2f79-9ea1-4234-ab32-43ac0a251d13, 1.0, 1
e54df0e8-ccf0-4553-af4e-b121cd41f241, 1.0, 0
c113199f-8425-4c53-9d1b-2cadd6703aba, 1.0, 1
9e7af6f7-816d-4693-8241-24ad6a5c1f43, 1.0, 0
9562601e-b765-4aaf-9bc2-1930de08aff8, 1.0, 1
60894fde-bfe6-4635-9c64-f64975bb066e, 1.0, 1
bf356396-5045-4d56-ac28-87796886fdfb, 1.0, 1
78ff95df-9591-4375-8953-4f00178f178d, 1.0, 1
701845a4-83f8-4fcd-8696-ca39539a8fed, 1.0, 1
2954f7e8-47df-417e-b920-3ed27cd025a0, 1.0, 1
20acc569-0339-41da-94c2-0e703e9c9359, 1.0, 0
6094b71c-8d35-42b2-a006-cb569c6b93b2, 1.0, 0
23e79450-b422-47d8-b601-a52cdf4977ee, 1.0, 1
0c92537e-f89d-42b0-bf9c-e4d1a0941b7e, 1.0, 0
